,name,year,rating,votes,certificate,plot,url,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller
4745,Nidhogg II,2017,7.7,15.0,T,"The rules are simple, Reach the other side and kill anyone that stands in your way, Deftly parry and rend their throats, riddle their bowels with arrows, or squish their brains between your toes, The wurm cares not for chivalry.",https://www.imdb.com/title/tt12160178/?ref_=adv_li_tt,True,True,True,False,False,False,False,False,False
4747,Star Trek: First Contact,1988,7.5,25.0,nan,No Plot,https://www.imdb.com/title/tt1776302/?ref_=adv_li_tt,True,True,False,False,False,False,False,True,False
4748,Tonic Trouble,1999,6.5,34.0,E,"Main character Ed, accidentally throws a potion falling to the Earth, which then hits the wrong Grogh. The main hero lands on the Earth to stop him.",https://www.imdb.com/title/tt0281290/?ref_=adv_li_tt,True,True,False,False,True,False,False,False,False
4749,Street Fighter 2010,1990,5.7,53.0,E10+,"Ken had no interest in the frontier. Then his partner Troy was killed. Someone broke into their lab, stole their invention, and left Troy as a pile of jelly on the floor. It's been 25 years... See full summary »",https://www.imdb.com/title/tt1211798/?ref_=adv_li_tt,True,False,False,False,False,False,False,True,False
4750,Star Trek: Shattered Universe,2003,7.4,65.0,nan,"The U.S.S. Excelsior, under the command of Captain Sulu is transported to the hostile Mirror Universe where Starfleet and the Federation are the bad guys, and its up to you to find a way to... See full summary »",https://www.imdb.com/title/tt0284514/?ref_=adv_li_tt,True,True,False,False,False,False,False,True,False
4751,Tales of Legendia,2005,7.7,72.0,T,No Plot,https://www.imdb.com/title/tt0486659/?ref_=adv_li_tt,True,True,True,False,False,False,False,False,False
4752,Dark Souls II: Crown of the Ivory King,2014,7.6,77.0,nan,No Plot,https://www.imdb.com/title/tt12708802/?ref_=adv_li_tt,True,True,False,False,False,True,False,False,False
4753,Star Cruiser,1977,5.6,7.0,nan,No Plot,https://www.imdb.com/title/tt2002800/?ref_=adv_li_tt,True,False,False,False,False,False,False,True,False
4755,Joust,1982,6.6,155.0,Unrated,"As a joust wielding yellow armored knight riding a flying ostrich. You must navigate through a series of floating rock platforms above molten hot lava. With a berserk of enemy knights, many... See full summary »",https://www.imdb.com/title/tt0314233/?ref_=adv_li_tt,True,False,False,False,False,True,False,False,False
4756,Fist of the North Star: Ken's Rage 2,2012,7.7,25.0,M,No Plot,https://www.imdb.com/title/tt2532026/?ref_=adv_li_tt,True,False,False,False,False,True,False,False,False
4757,Inuyasha: A Feudal Fairy Tale,2002,7.9,56.0,T,A fighting game for the PlayStation 1.,https://www.imdb.com/title/tt0375844/?ref_=adv_li_tt,True,False,False,False,False,True,True,False,False
4758,Sonic the Hedgehog Pocket Adventure,1999,7.5,45.0,nan,"A game for the Neo Geo Pocket Color. Based on Sonic the Hedgehog 2, borrowing much of the stage themes and gameplay elements, but featuring unique stage layouts, elements from other Genesis Sonic the Hedgehog games, and extra game modes.",https://www.imdb.com/title/tt0424456/?ref_=adv_li_tt,True,True,False,False,True,False,False,False,False
4761,Unit 13,2012,6.5,40.0,T,No Plot,https://www.imdb.com/title/tt2182227/?ref_=adv_li_tt,True,False,False,False,False,False,False,False,False
4763,S.C.A.R.S,1998,6.7,12.0,nan,"S.C.A.R.S (Super Computer Animal Racing Simulator), is a racing game set in the world of 3000 AD, the world is run by 9 different supercomputers, who are horribly bored, so they created this virtual reality simulation to race each other.",https://www.imdb.com/title/tt6463264/?ref_=adv_li_tt,True,False,False,False,False,False,False,True,False
4765,Pac-Mania,1987,6.6,77.0,Unrated,A re-imagined version of Pac-Man presented in cabinet projection and a feature that allows Pac-Man to jump.,https://www.imdb.com/title/tt0301696/?ref_=adv_li_tt,True,False,False,False,True,False,False,False,False
4766,Gungrave: Overdose,2004,7.5,35.0,M,"Mika Asagi, who helped Beyond the Grave on his last adventure, revives him again. This time, he has to stop Seed, an addictive drug that's turning innocent people into criminals. Also ... See full summary »",https://www.imdb.com/title/tt0428614/?ref_=adv_li_tt,True,False,False,True,False,False,False,False,False
4767,Horizon Chase Turbo,2018,6.7,128.0,nan,"Horizon Chase Turbo is a race around the world. With each new cup, you'll pilot your car through extraordinary places, watching the sun setting, facing rain, snow, volcanic ashes and even ... See full summary »",https://www.imdb.com/title/tt10930768/?ref_=adv_li_tt,True,False,False,False,False,False,False,False,False
4769,Legends of Wrestling 2,2002,5.6,67.0,T,Sequel to Legends of Wrestling (2001) containing 25 wrestlers that were not in the first game.,https://www.imdb.com/title/tt0353660/?ref_=adv_li_tt,True,False,False,False,False,False,False,False,False
4770,Teenage Mutant Ninja Turtles: Fall of the Foot Clan,1990,7.4,120.0,nan,The Ninja Turtles have to fight against Krang and Shredder and save their friend April O'Neil.,https://www.imdb.com/title/tt0445753/?ref_=adv_li_tt,True,True,False,False,False,False,False,False,False
4771,James Bond Jr.,1992,6.4,21.0,nan,No Plot,https://www.imdb.com/title/tt0924451/?ref_=adv_li_tt,True,True,False,False,False,False,False,False,False
4772,Virtua Fighter,1993,7.0,208.0,T,Play as one of nine fighters in this fast paced game.,https://www.imdb.com/title/tt0295007/?ref_=adv_li_tt,True,True,False,False,False,False,False,False,False
4774,Trackmania,2020,6.8,24.0,nan,No Plot,https://www.imdb.com/title/tt12766076/?ref_=adv_li_tt,True,False,False,False,False,False,False,False,False
4775,Odin Sphere,2007,7.9,130.0,T,"The stories of five people intertwine and unfold during the Cauldron War, the conflict at the end of all things. Armed with a Psypher, a devastatingly powerful weapon powered by the lives ... See full summary »",https://www.imdb.com/title/tt1176125/?ref_=adv_li_tt,True,True,False,False,False,True,False,False,False
4776,Haven: Call of the King,2002,7.1,22.0,nan,No Plot,https://www.imdb.com/title/tt0354621/?ref_=adv_li_tt,True,False,False,False,False,False,False,True,False
4778,1943: The Battle of Midway,1987,6.7,107.0,nan,"In the midst of WWII, the Navy's best fighter pilot must destroy the Japanese air and sea squadrons.",https://www.imdb.com/title/tt0384786/?ref_=adv_li_tt,True,False,False,False,False,False,False,False,False
4779,Chaos Rings II,2012,7.8,6.0,nan,No Plot,https://www.imdb.com/title/tt6103584/?ref_=adv_li_tt,True,False,False,False,False,False,False,False,False
4780,Neverending Nightmares,2014,6.9,15.0,M,"You play as Thomas, a man who has to face his own thoughts and insanity as his nightmares began to deepen and turn more disturbing, twisting his own house into something close to hell.",https://www.imdb.com/title/tt14182978/?ref_=adv_li_tt,True,True,False,False,False,False,False,False,False
4781,Super Pitfall,1987,4.5,38.0,nan,No Plot,https://www.imdb.com/title/tt0186591/?ref_=adv_li_tt,True,False,False,False,False,False,False,False,False
4782,Wario's Woods,1994,6.2,71.0,K-A,"In an attempt to take over the Peaceful Woods, Wario casts a spell over the inhabitants and manipulates them in order to make them his minions. Hero Toad makes his way to Wario's Woods in order to win the woods back for the Sprites.",https://www.imdb.com/title/tt0310338/?ref_=adv_li_tt,True,False,False,False,True,True,False,False,False
4784,Divine Divinity,2002,7.8,76.0,nan,"When Rivellon is being torn apart by civil unrest and war, there is only one hope of saving the Land of Divinity from being consumed by Chaos: the discovery and ceremonial dubbing of the divine savior of the Seven Races.",https://www.imdb.com/title/tt1472050/?ref_=adv_li_tt,True,True,False,False,False,True,False,False,False
4785,WWF Super WrestleMania,1992,5.6,62.0,Unrated,The first WWF video game released for the Super Nintendo Entertainment System and Sega Genesis/Megadrive in 1992.,https://www.imdb.com/title/tt0302008/?ref_=adv_li_tt,True,False,False,False,False,False,False,False,False
4786,Cel Damage,2001,7.2,77.0,T,"In the game, Cel Damage is a weekly T.V. show that pits 7 cartoon characters against each other in various game types ranging from battles to races. The characters use their own unique vehicles and a wide range of wacky, comical weapons.",https://www.imdb.com/title/tt0297045/?ref_=adv_li_tt,True,False,True,False,False,False,False,False,False
4787,Arthur et les Minimoys,2006,7.0,37.0,nan,No Plot,https://www.imdb.com/title/tt5807510/?ref_=adv_li_tt,True,False,False,False,False,False,False,False,False
